movie,sentence,score
더 퍼스트 슬램덩크,슬램덩크를 알려준 제자들과함께 수십년이지난 지금 다시함께 슬램덩크를보다니...뚫어.송태섭..잊을수없다 ㅠ다함께부둥켜안고 하늘올려다보는 태섭의 그위에 준섭이가환하게 웃고있었을듯 ㅠ,10
더 퍼스트 슬램덩크,"벅찬 감동, 숨 멎을 듯한 정적... 최고다",10
더 퍼스트 슬램덩크,영화의 끝을 향해 달려가면서 쫄깃함이 절정에 달아 마지막 5분동안은 숨도 쉬지 못했다는...,10
더 퍼스트 슬램덩크,다 아는 내용인데 이렇게 감동적일수가 있나...,10
더 퍼스트 슬램덩크,끝나고 나오는데 가슴 오지게 뛰더라 ,10
더 퍼스트 슬램덩크,원작을 모른 상태로 봐도 훌륭했다. 원작을 알고 보면 얼마나 뽕차오를까.,10
더 퍼스트 슬램덩크,오프닝 스케치 장면에서 이미 게임 오버~!!,10
더 퍼스트 슬램덩크,세대를 뛰어넘는 시대의 낭만,8
더 퍼스트 슬램덩크,어째서 봐도봐도 잼있는거지…..,10
더 퍼스트 슬램덩크,재밌어요 첫 등잔씬부터 감동 ㅠㅠ,10
더 퍼스트 슬램덩크,역시 슬램덩크!! 너무 좋았다,10
더 퍼스트 슬램덩크,울컥하게 만드는 추억의 만화,10
더 퍼스트 슬램덩크,마지막 부분에 숨참고 봤다. 진짜 오줌을 지릴뻔했다. 서태웅이남자로 보인다. 송태섭이남자로 보인다. 말로 허용을 못할정도로 최고다. 인생 최고의 영화.,10
더 퍼스트 슬램덩크, 마냥 행복하고 좋았던 그시절로 잠시나마 돌아갈수있어서 좋았어요,10
더 퍼스트 슬램덩크,지렸다,10
더 퍼스트 슬램덩크,"명작은 내용을 다 알고 봐도 명작이다,,",10
더 퍼스트 슬램덩크,"무엇보다, 원작인 만화의 감동은 그대로 옮겼던 점이 너무 좋았어요. 그리고 여러 사람들의 표정을 한 눈에 보이게 담아낸 연출들이 개인적으로 원작에서 좋았던 점인데, 이 작품은 영상인 만큼 그보다는 생동감, 속도감이 느껴지게 연출한 점이 또 다른 보는 맛이 있었어요.",10
더 퍼스트 슬램덩크,너무 잘 알고 있기에 Soso 완전 잊고 있었거나 희미하거나 책 안접한사람은 그나마 괜찮을듯??? 일본만화영화는 신카이가 채고당 끗. ,7
더 퍼스트 슬램덩크,원작이 가지는 위대한 힘 4회차 관람했습니다.,10
더 퍼스트 슬램덩크,아저씨들이 왜 좋아하는지 알수있는 명작 애니메이션,10
더 퍼스트 슬램덩크,제발 자막으로 보세요....실수로 더빙으로 봤는데 유치한 느낌 들어요,8
더 퍼스트 슬램덩크,뚫어!!!!        송태섭!!!!,10
더 퍼스트 슬램덩크,한나 나올때 오랫동안 못만난 옛친구 만난 기분이 들어서 뭉클했다... ㅜㅜ,10
더 퍼스트 슬램덩크,뚜러~~~~어어어어! 내 인생!,10
더 퍼스트 슬램덩크,이걸 극장에서 본 순간이 내 인생 최고의 순간이었네. 만들어주신  모든분들께 감사인사를 드리고싶네요.,10
더 퍼스트 슬램덩크,송태섭 형은 낚시갔다가 사망. 정대만 중1때만남. 산왕이기고 정우성이랑 미국가서 만남. 강백호얘기안나옴. ,10
더 퍼스트 슬램덩크,솔직히 보다 눈물좀 흘렸다,10
더 퍼스트 슬램덩크,일본애니메이션은수준높다...애니메이션을그닥좋아하지않는나도재미있게봤다...스토리와연출굿...평점은8.1점주고싶다...,8
더 퍼스트 슬램덩크,슬램덩크 좋아했던 남자분들.영화표값이 아깝지 않으실겁니다.,10
더 퍼스트 슬램덩크,최고였다... 후속편들 그려줫으면 ㅜㅜㅜㅜ,10
더 퍼스트 슬램덩크,영화 보는 내내 감동과 소름,10
더 퍼스트 슬램덩크,슬램덩크 만화를 안봤어도 처음 과 끝에 전율이!! 만화 다 챙겨보고 더 세컨드 나오길 기대해야지,7
더 퍼스트 슬램덩크,최고 최고 최고 최고 촤고,10
더 퍼스트 슬램덩크,재밌게 잘봤습니다,10
